Publisher Name,Series Name,Full Title,Release Date,My Rating
Marvel Comics,The Mighty Thor (Vol. 3) (2015 - 2018),The Mighty Thor #1,2015-11-18,
Marvel Comics,The Mighty Thor (Vol. 3) (2015 - 2018),The Mighty Thor #2,2015-12-16,
Marvel Comics,The Mighty Thor (Vol. 3) (2015 - 2018),The Mighty Thor #3,2016-01-13,
Marvel Comics,The Mighty Thor (Vol. 3) (2015 - 2018),The Mighty Thor #4,2016-02-17,
Marvel Comics,The Mighty Thor (Vol. 3) (2015 - 2018),The Mighty Thor #5,2016-03-09,
Marvel Comics,The Mighty Thor (Vol. 3) (2015 - 2018),The Mighty Thor #6,2016-04-20,
Marvel Comics,The Mighty Thor (Vol. 3) (2015 - 2018),The Mighty Thor #7,2016-05-25,
Marvel Comics,The Mighty Thor (Vol. 3) (2015 - 2018),The Mighty Thor #8,2016-06-22,
Marvel Comics,The Mighty Thor (Vol. 3) (2015 - 2018),The Mighty Thor #9,2016-07-27,
Marvel Comics,The Mighty Thor (Vol. 3) (2015 - 2018),The Mighty Thor #10,2016-08-17,
Marvel Comics,The Mighty Thor (Vol. 3) (2015 - 2018),The Mighty Thor #11,2016-09-21,
Marvel Comics,The Mighty Thor (Vol. 3) (2015 - 2018),The Mighty Thor #12,2016-10-19,
Marvel Comics,The Mighty Thor (Vol. 3) (2015 - 2018),The Mighty Thor #13,2016-11-23,
Marvel Comics,The Mighty Thor (Vol. 3) (2015 - 2018),The Mighty Thor #14,2016-12-28,
Marvel Comics,The Mighty Thor (Vol. 3) (2015 - 2018),The Mighty Thor #15,2017-01-11,
Marvel Comics,The Mighty Thor (Vol. 3) (2015 - 2018),The Mighty Thor #16,2017-02-15,
Marvel Comics,The Mighty Thor (Vol. 3) (2015 - 2018),The Mighty Thor #17,2017-03-15,
Marvel Comics,The Mighty Thor (Vol. 3) (2015 - 2018),The Mighty Thor #18,2017-04-26,
Marvel Comics,Miles Morales: Spider-Man (Vol. 2) (2022 - Present),Miles Morales: Spider-Man #1,2022-12-07,
Marvel Comics,Miles Morales: Spider-Man (Vol. 2) (2022 - Present),Miles Morales: Spider-Man #2,2023-01-11,
Marvel Comics,Miles Morales: Spider-Man (Vol. 2) (2022 - Present),Miles Morales: Spider-Man #3,2023-02-01,
Marvel Comics,Miles Morales: Spider-Man (Vol. 2) (2022 - Present),Miles Morales: Spider-Man #4,2023-03-15,
Marvel Comics,Miles Morales: Spider-Man (Vol. 2) (2022 - Present),Miles Morales: Spider-Man #5,2023-04-12,
Marvel Comics,Miles Morales: Spider-Man (Vol. 2) (2022 - Present),Miles Morales: Spider-Man #6,2023-05-17,
Marvel Comics,Miles Morales: Spider-Man (Vol. 2) (2022 - Present),Miles Morales: Spider-Man #7,2023-06-21,
Marvel Comics,Miles Morales: Spider-Man (Vol. 2) (2022 - Present),Miles Morales: Spider-Man #8,2023-07-12,
Marvel Comics,Miles Morales: Spider-Man (Vol. 2) (2022 - Present),Miles Morales: Spider-Man #9,2023-08-09,
Marvel Comics,Miles Morales: Spider-Man (Vol. 2) (2022 - Present),Miles Morales: Spider-Man #10,2023-09-13,
Marvel Comics,Miles Morales: Spider-Man (Vol. 2) (2022 - Present),Miles Morales: Spider-Man #11,2023-10-18,
Marvel Comics,Miles Morales: Spider-Man (Vol. 2) (2022 - Present),Miles Morales: Spider-Man #12,2023-11-29,
Marvel Comics,Miles Morales: Spider-Man (Vol. 2) (2022 - Present),Miles Morales: Spider-Man #13,2023-12-13,
DC Comics,Mister Miracle (Vol. 4) (2017 - 2018),Mister Miracle: The Deluxe Edition HC,2020-10-06,
Marvel Comics,Moon Girl and Devil Dinosaur (Vol. 1) (2015 - 2019),Moon Girl and Devil Dinosaur #42,2019-04-24,
Marvel Comics,Moon Girl and Devil Dinosaur (Vol. 1) (2015 - 2019),Moon Girl and Devil Dinosaur #43,2019-05-22,
Marvel Comics,Moon Girl and Devil Dinosaur (Vol. 1) (2015 - 2019),Moon Girl and Devil Dinosaur #44,2019-06-26,
Marvel Comics,Moon Girl and Devil Dinosaur (Vol. 1) (2015 - 2019),Moon Girl and Devil Dinosaur #45,2019-07-24,
Marvel Comics,Moon Girl and Devil Dinosaur (Vol. 1) (2015 - 2019),Moon Girl and Devil Dinosaur #46,2019-08-28,
Marvel Comics,Moon Girl and Devil Dinosaur (Vol. 1) (2015 - 2019),Moon Girl and Devil Dinosaur #47,2019-09-25,
Marvel Comics,Moon Knight (Vol. 8) (2021 - 2023),Moon Knight Annual #1,2023-08-30,
Marvel Comics,Moon Knight (Vol. 6) (2014 - 2015),Moon Knight #1,2014-03-05,
Marvel Comics,Moon Knight (Vol. 6) (2014 - 2015),Moon Knight #2,2014-04-02,
Marvel Comics,Moon Knight (Vol. 6) (2014 - 2015),Moon Knight #3,2014-05-07,
Marvel Comics,Moon Knight (Vol. 6) (2014 - 2015),Moon Knight #4,2014-06-04,
Marvel Comics,Moon Knight (Vol. 6) (2014 - 2015),Moon Knight #5,2014-07-02,
Marvel Comics,Moon Knight (Vol. 6) (2014 - 2015),Moon Knight #6,2014-08-06,
Marvel Comics,Moon Knight (Vol. 8) (2021 - 2023),Moon Knight #1,2021-07-21,
Marvel Comics,Moon Knight (Vol. 8) (2021 - 2023),Moon Knight #2,2021-08-18,
Marvel Comics,Moon Knight (Vol. 8) (2021 - 2023),Moon Knight #3,2021-09-22,
Marvel Comics,Moon Knight (Vol. 8) (2021 - 2023),Moon Knight #4,2021-10-27,
Marvel Comics,Moon Knight (Vol. 8) (2021 - 2023),Moon Knight #5,2021-11-17,
Marvel Comics,Moon Knight (Vol. 8) (2021 - 2023),Moon Knight #6,2021-12-22,
Marvel Comics,Moon Knight (Vol. 8) (2021 - 2023),Moon Knight #7,2022-01-19,
Marvel Comics,Moon Knight (Vol. 8) (2021 - 2023),Moon Knight #8,2022-02-09,
Marvel Comics,Moon Knight (Vol. 8) (2021 - 2023),Moon Knight #9,2022-03-02,
Marvel Comics,Moon Knight (Vol. 8) (2021 - 2023),Moon Knight #10,2022-04-06,
Marvel Comics,Moon Knight (Vol. 8) (2021 - 2023),Moon Knight #11,2022-05-25,
Marvel Comics,Moon Knight (Vol. 8) (2021 - 2023),Moon Knight #12,2022-06-22,
Marvel Comics,Moon Knight (Vol. 8) (2021 - 2023),Moon Knight #13,2022-07-13,
Marvel Comics,Moon Knight (Vol. 8) (2021 - 2023),Moon Knight #14,2022-08-03,
Marvel Comics,Moon Knight (Vol. 8) (2021 - 2023),Moon Knight #15,2022-09-07,
Marvel Comics,Moon Knight (Vol. 8) (2021 - 2023),Moon Knight #16,2022-10-19,
Marvel Comics,Moon Knight (Vol. 8) (2021 - 2023),Moon Knight #17,2022-11-09,
Marvel Comics,Moon Knight (Vol. 8) (2021 - 2023),Moon Knight #18,2022-12-28,
Marvel Comics,Moon Knight (Vol. 8) (2021 - 2023),Moon Knight #19,2023-01-11,
Marvel Comics,Moon Knight (Vol. 8) (2021 - 2023),Moon Knight #20,2023-02-01,
Marvel Comics,Moon Knight (Vol. 8) (2021 - 2023),Moon Knight #21,2023-03-08,
Marvel Comics,Moon Knight (Vol. 8) (2021 - 2023),Moon Knight #22,2023-04-12,
Marvel Comics,Moon Knight (Vol. 8) (2021 - 2023),Moon Knight #23,2023-05-03,
Marvel Comics,Moon Knight (Vol. 8) (2021 - 2023),Moon Knight #24,2023-06-14,
Marvel Comics,Moon Knight (Vol. 8) (2021 - 2023),Moon Knight #25,2023-07-12,
Marvel Comics,Moon Knight (Vol. 8) (2021 - 2023),Moon Knight #26,2023-08-02,
Marvel Comics,Moon Knight (Vol. 8) (2021 - 2023),Moon Knight #27,2023-09-06,
Marvel Comics,Moon Knight (Vol. 8) (2021 - 2023),Moon Knight #28,2023-10-18,
Marvel Comics,Moon Knight (Vol. 8) (2021 - 2023),Moon Knight #29,2023-11-29,
Marvel Comics,Moon Knight (Vol. 8) (2021 - 2023),Moon Knight #30,2023-12-13,
Marvel Comics,Moon Knight: Fist of Khonshu (2024 - Present),Moon Knight: Fist of Khonshu #1,2024-10-16,5.0
Marvel Comics,Ms. Marvel & Venom (2022),Ms. Marvel & Venom #1,2022-09-14,
Marvel Comics,Ms. Marvel & Wolverine (2022),Ms. Marvel & Wolverine #1,2022-08-10,
Marvel Comics,Ms. Marvel: Beyond the Limit (2021 - 2022),Ms. Marvel: Beyond the Limit #1,2021-12-22,
Marvel Comics,Ms. Marvel: Beyond the Limit (2021 - 2022),Ms. Marvel: Beyond the Limit #2,2022-01-12,
Marvel Comics,Ms. Marvel: Beyond the Limit (2021 - 2022),Ms. Marvel: Beyond the Limit #3,2022-02-23,
Marvel Comics,Ms. Marvel: Beyond the Limit (2021 - 2022),Ms. Marvel: Beyond the Limit #4,2022-03-23,
Marvel Comics,Ms. Marvel: Beyond the Limit (2021 - 2022),Ms. Marvel: Beyond the Limit #5,2022-04-27,
Marvel Comics,Ms. Marvel: Mutant Menace (2024),Ms. Marvel: Mutant Menace #1,2024-03-06,4.0
Marvel Comics,Ms. Marvel: Mutant Menace (2024),Ms. Marvel: Mutant Menace #2,2024-04-10,4.0
Marvel Comics,Ms. Marvel: Mutant Menace (2024),Ms. Marvel: Mutant Menace #3,2024-05-15,4.0
Marvel Comics,Ms. Marvel: Mutant Menace (2024),Ms. Marvel: Mutant Menace #4,2024-06-05,5.0
Graphix,Ms. Marvel: Stretched Thin (2021),Ms. Marvel: Stretched Thin Vol. 1 SC,2021-09-21,
Marvel Comics,Ms. Marvel: The New Mutant (2023),Ms. Marvel: The New Mutant #1,2023-08-30,4.0
Marvel Comics,Ms. Marvel: The New Mutant (2023),Ms. Marvel: The New Mutant #2,2023-09-27,4.0
Marvel Comics,Ms. Marvel: The New Mutant (2023),Ms. Marvel: The New Mutant #3,2023-10-25,4.0
Marvel Comics,Ms. Marvel: The New Mutant (2023),Ms. Marvel: The New Mutant #4,2023-11-29,5.0
Image Comics,Murder Falcon (2018 - 2019),Murder Falcon #1,2018-10-10,
Image Comics,Murder Falcon (2018 - 2019),Murder Falcon #2,2018-11-14,
DC Comics,My Adventures with Superman (2024 - Present),My Adventures with Superman #1,2024-06-04,
Marvel Comics,New Mutants (Vol. 4) (2019 - 2022),New Mutants #19,2021-06-16,
Marvel Comics,Nightcrawlers (Vol. 1) (2023),Nightcrawlers #1,2023-02-15,4.0
Marvel Comics,Nightcrawlers (Vol. 1) (2023),Nightcrawlers #2,2023-03-08,4.0
Marvel Comics,Nightcrawlers (Vol. 1) (2023),Nightcrawlers #3,2023-04-19,5.0
DC Comics,Nightwing (Vol. 4) (2016 - Present),Nightwing 2024 Annual #1,2024-04-30,
DC Comics,Nightwing (Vol. 4) (2016 - Present),Nightwing #78,2021-03-16,
DC Comics,Nightwing (Vol. 4) (2016 - Present),Nightwing #79,2021-04-20,
DC Comics,Nightwing (Vol. 4) (2016 - Present),Nightwing #80,2021-05-18,
DC Comics,Nightwing (Vol. 4) (2016 - Present),Nightwing #81,2021-06-15,
DC Comics,Nightwing (Vol. 4) (2016 - Present),Nightwing #82,2021-07-20,
DC Comics,Nightwing (Vol. 4) (2016 - Present),Nightwing #83,2021-08-17,
DC Comics,Nightwing (Vol. 4) (2016 - Present),Nightwing #84,2021-09-21,
DC Comics,Nightwing (Vol. 4) (2016 - Present),Nightwing #85,2021-10-19,
DC Comics,Nightwing (Vol. 4) (2016 - Present),Nightwing #86,2021-11-16,
DC Comics,Nightwing (Vol. 4) (2016 - Present),Nightwing #87,2021-12-21,
DC Comics,Nightwing (Vol. 4) (2016 - Present),Nightwing #88,2022-01-18,
DC Comics,Nightwing (Vol. 4) (2016 - Present),Nightwing #89,2022-02-15,
DC Comics,Nightwing (Vol. 4) (2016 - Present),Nightwing #94,2022-07-19,
DC Comics,Nightwing (Vol. 4) (2016 - Present),Nightwing #99,2022-12-20,
DC Comics,Nightwing (Vol. 4) (2016 - Present),Nightwing #100,2023-01-17,
DC Comics,Nightwing (Vol. 4) (2016 - Present),Nightwing #101,2023-02-21,
DC Comics,Nightwing (Vol. 4) (2016 - Present),Nightwing #102,2023-03-21,
DC Comics,Nightwing (Vol. 4) (2016 - Present),Nightwing #103,2023-04-18,
DC Comics,Nightwing (Vol. 4) (2016 - Present),Nightwing #104,2023-05-23,
DC Comics,Nightwing (Vol. 4) (2016 - Present),Nightwing #105,2023-06-20,
DC Comics,Nightwing (Vol. 4) (2016 - Present),Nightwing #106,2023-09-19,
DC Comics,Nightwing (Vol. 4) (2016 - Present),Nightwing #107,2023-10-17,
DC Comics,Nightwing (Vol. 4) (2016 - Present),Nightwing #108,2023-11-21,
DC Comics,Nightwing (Vol. 4) (2016 - Present),Nightwing #109,2023-12-19,
DC Comics,Nightwing (Vol. 4) (2016 - Present),Nightwing #110,2024-01-16,
DC Comics,Nightwing (Vol. 4) (2016 - Present),Nightwing #111,2024-02-20,
DC Comics,Nightwing (Vol. 4) (2016 - Present),Nightwing #112,2024-03-19,
DC Comics,Nightwing (Vol. 4) (2016 - Present),Nightwing #113,2024-04-16,
DC Comics,Nightwing (Vol. 4) (2016 - Present),Nightwing #114,2024-05-21,
DC Comics,Nightwing (Vol. 4) (2016 - Present),Nightwing #115,2024-06-18,
DC Comics,Nightwing (Vol. 4) (2016 - Present),Nightwing #116,2024-07-17,
DC Comics,Nightwing (Vol. 4) (2016 - Present),Nightwing #117,2024-08-21,4.0
DC Comics,Nightwing (Vol. 4) (2016 - Present),Nightwing #118,2024-10-16,5.0
DC Comics,Nightwing (Vol. 4) (2016 - Present),Nightwing #119,2024-10-23,4.0
DC Comics,Nightwing (Vol. 4) (2016 - Present),Nightwing: Fear State HC,2022-06-21,
First Second Books,On a Sunbeam (2018),On a Sunbeam HC,2018-10-03,
Marvel Comics,Outlawed (2020),Outlawed #1,2020-03-18,
Pantheon Books,Persepolis (2007),Persepolis 2: The Story of a Return TP,2005-08-02,
Marvel Comics,Phases of the Moon Knight (2024),Phases of the Moon Knight #1,2024-08-28,4.0
Marvel Comics,Planet-Size X-Men (2021),Planet-Size X-Men #1,2021-06-16,
DC Comics,Poison Ivy (2022 - Present),Poison Ivy #1,2022-06-07,
DC Comics,Poison Ivy (2022 - Present),Poison Ivy #2,2022-07-05,
DC Comics,Poison Ivy (2022 - Present),Poison Ivy #3,2022-08-02,
DC Comics,Poison Ivy (2022 - Present),Poison Ivy #4,2022-09-06,
DC Comics,Poison Ivy (2022 - Present),Poison Ivy #5,2022-10-04,
DC Comics,Poison Ivy (2022 - Present),Poison Ivy #6,2022-11-01,
DC Comics,Poison Ivy (2022 - Present),Poison Ivy #7,2022-12-06,
DC Comics,Poison Ivy (2022 - Present),Poison Ivy #8,2023-01-03,
DC Comics,Poison Ivy (2022 - Present),Poison Ivy #9,2023-02-07,
DC Comics,Poison Ivy (2022 - Present),Poison Ivy #10,2023-03-07,
DC Comics,Poison Ivy (2022 - Present),Poison Ivy #11,2023-04-04,
DC Comics,Poison Ivy (2022 - Present),Poison Ivy #12,2023-05-02,
DC Comics,Poison Ivy (2022 - Present),Poison Ivy #13,2023-06-06,
DC Comics,Poison Ivy (2022 - Present),Poison Ivy #14,2023-09-05,
DC Comics,Poison Ivy (2022 - Present),Poison Ivy #15,2023-10-03,
DC Comics,Poison Ivy (2022 - Present),Poison Ivy #16,2023-11-07,
DC Comics,Poison Ivy (2022 - Present),Poison Ivy #17,2023-12-05,
DC Comics,Poison Ivy (2022 - Present),Poison Ivy #18,2024-01-02,
DC Comics,Poison Ivy (2022 - Present),Poison Ivy #19,2024-02-06,
DC Comics,Poison Ivy (2022 - Present),Poison Ivy #20,2024-03-05,
DC Comics,Poison Ivy (2022 - Present),Poison Ivy #21,2024-04-02,
DC Comics,Poison Ivy (2022 - Present),Poison Ivy #22,2024-05-07,
DC Comics,Poison Ivy (2022 - Present),Poison Ivy #23,2024-06-04,
DC Comics,Poison Ivy (2022 - Present),Poison Ivy #24,2024-07-03,
DC Comics,Poison Ivy (2022 - Present),Poison Ivy #25,2024-09-04,5.0
DC Comics,Poison Ivy (2022 - Present),Poison Ivy #26,2024-10-02,4.0
DC Comics,Poison Ivy (2022 - Present),Poison Ivy #27,2024-11-06,5.0
Image Comics,Public Domain (2022 - Present),Public Domain #1,2022-06-29,
Image Comics,Public Domain (2022 - Present),Public Domain #2,2022-07-27,
Image Comics,Public Domain (2022 - Present),Public Domain #3,2022-08-24,
Image Comics,Public Domain (2022 - Present),Public Domain #4,2022-09-21,
Image Comics,Public Domain (2022 - Present),Public Domain #5,2022-10-19,
BOOM! Studios,Rare Flavours (2023 - 2024),Rare Flavours #1,2023-09-20,5.0
BOOM! Studios,Rare Flavours (2023 - 2024),Rare Flavours #2,2023-10-25,4.0
BOOM! Studios,Rare Flavours (2023 - 2024),Rare Flavours #3,2023-12-20,5.0
BOOM! Studios,Rare Flavours (2023 - 2024),Rare Flavours #4,2024-02-28,5.0
BOOM! Studios,Rare Flavours (2023 - 2024),Rare Flavours #5,2024-04-24,5.0
BOOM! Studios,Rare Flavours (2023 - 2024),Rare Flavours #6,2024-06-26,5.0
Marvel Comics,Realm of X (2023),Realm of X #4,2023-11-29,4.0
Marvel Comics,Resurrection of Magneto (2024),Resurrection of Magneto #1,2024-01-24,4.0
Marvel Comics,Resurrection of Magneto (2024),Resurrection of Magneto #2,2024-02-28,
Marvel Comics,Resurrection of Magneto (2024),Resurrection of Magneto #3,2024-03-20,4.0
Marvel Comics,Resurrection of Magneto (2024),Resurrection of Magneto #4,2024-04-10,4.0
Marvel Comics,Rise of the Powers of X (2024),Rise of the Powers of X #1,2024-01-10,4.0
Marvel Comics,Rise of the Powers of X (2024),Rise of the Powers of X #2,2024-02-21,4.0
Marvel Comics,Rise of the Powers of X (2024),Rise of the Powers of X #3,2024-03-27,4.0
Marvel Comics,Rise of the Powers of X (2024),Rise of the Powers of X #4,2024-04-24,5.0
Marvel Comics,Rise of the Powers of X (2024),Rise of the Powers of X #5,2024-05-29,4.0
Drawn and Quarterly,Roaming (2023),Roaming  TP,2023-09-26,
DC Comics,Robin (Vol. 3) (2021 - 2022),Robin 2021 Annual #1,2021-11-30,
DC Comics,Robin (Vol. 3) (2021 - 2022),Robin #1,2021-04-27,
DC Comics,Robin (Vol. 3) (2021 - 2022),Robin #2,2021-05-25,
DC Comics,Robin (Vol. 3) (2021 - 2022),Robin #3,2021-06-22,
DC Comics,Robin (Vol. 3) (2021 - 2022),Robin #4,2021-07-27,
DC Comics,Robin (Vol. 3) (2021 - 2022),Robin #5,2021-08-24,
DC Comics,Robin (Vol. 3) (2021 - 2022),Robin #6,2021-09-28,
DC Comics,Robin (Vol. 3) (2021 - 2022),Robin #7,2021-10-26,
DC Comics,Robin (Vol. 3) (2021 - 2022),Robin #8,2021-11-23,
DC Comics,Robin (Vol. 3) (2021 - 2022),Robin #9,2021-12-28,
DC Comics,Robin (Vol. 3) (2021 - 2022),Robin #10,2022-01-25,
DC Comics,Robin (Vol. 3) (2021 - 2022),Robin #11,2022-02-22,
DC Comics,Robin (Vol. 3) (2021 - 2022),Robin #12,2022-03-22,
DC Comics,Robin (Vol. 3) (2021 - 2022),Robin #13,2022-04-26,
DC Comics,Robin (Vol. 3) (2021 - 2022),Robin #14,2022-05-24,
DC Comics,Robin (Vol. 3) (2021 - 2022),Robin #16,2022-07-26,
DC Comics,Robin (Vol. 3) (2021 - 2022),Robin #17,2022-08-23,
DC Comics,Robins (2021 - 2022),Robins #1,2021-11-16,
DC Comics,Robins (2021 - 2022),Robins #2,2021-12-21,
DC Comics,Robins (2021 - 2022),Robins #3,2022-01-18,
DC Comics,Robins (2021 - 2022),Robins #4,2022-02-15,
DC Comics,Robins (2021 - 2022),Robins #5,2022-03-15,
DC Comics,Robins (2021 - 2022),Robins #6,2022-04-19,
Marvel Comics,S.W.O.R.D. (Vol. 2) (2020 - 2021),S.W.O.R.D. #1,2020-12-09,
Marvel Comics,S.W.O.R.D. (Vol. 2) (2020 - 2021),S.W.O.R.D. #2,2021-01-13,
Marvel Comics,S.W.O.R.D. (Vol. 2) (2020 - 2021),S.W.O.R.D. #3,2021-02-10,
Marvel Comics,S.W.O.R.D. (Vol. 2) (2020 - 2021),S.W.O.R.D. #4,2021-03-17,
Marvel Comics,S.W.O.R.D. (Vol. 2) (2020 - 2021),S.W.O.R.D. #5,2021-04-21,
Marvel Comics,S.W.O.R.D. (Vol. 2) (2020 - 2021),S.W.O.R.D. #6,2021-06-23,
Marvel Comics,S.W.O.R.D. (Vol. 2) (2020 - 2021),S.W.O.R.D. #7,2021-07-28,
Marvel Comics,S.W.O.R.D. (Vol. 2) (2020 - 2021),S.W.O.R.D. #8,2021-09-29,
Marvel Comics,S.W.O.R.D. (Vol. 2) (2020 - 2021),S.W.O.R.D. #9,2021-10-27,
Marvel Comics,S.W.O.R.D. (Vol. 2) (2020 - 2021),S.W.O.R.D. #10,2021-11-17,
Marvel Comics,S.W.O.R.D. (Vol. 2) (2020 - 2021),S.W.O.R.D. #11,2021-12-22,
Image Comics,Saga (2012 - Present),Saga #1,2012-03-14,
Image Comics,Saga (2012 - Present),Saga #2,2012-04-11,
Image Comics,Saga (2012 - Present),Saga #3,2012-05-16,
Image Comics,Saga (2012 - Present),Saga #4,2012-06-20,
Image Comics,Saga (2012 - Present),Saga #5,2012-07-18,
Image Comics,Saga (2012 - Present),Saga #6,2012-08-15,
Image Comics,Saga (2012 - Present),Saga #7,2012-11-14,
Image Comics,Saga (2012 - Present),Saga #8,2012-12-19,
Image Comics,Saga (2012 - Present),Saga #9,2013-01-16,
Image Comics,Saga (2012 - Present),Saga #10,2013-02-20,
Image Comics,Saga (2012 - Present),Saga #11,2013-03-20,
Image Comics,Saga (2012 - Present),Saga #12,2013-04-10,
Image Comics,Saga (2012 - Present),Saga #13,2013-08-14,
Image Comics,Saga (2012 - Present),Saga #14,2013-09-25,
Image Comics,Saga (2012 - Present),Saga #15,2013-10-30,
Image Comics,Saga (2012 - Present),Saga #16,2013-11-27,
Image Comics,Saga (2012 - Present),Saga #17,2013-12-18,
Image Comics,Saga (2012 - Present),Saga #18,2014-01-29,
Image Comics,Saga (2012 - Present),Saga #19,2014-05-21,
Image Comics,Saga (2012 - Present),Saga #20,2014-06-25,
Image Comics,Saga (2012 - Present),Saga #21,2014-07-23,
Image Comics,Saga (2012 - Present),Saga #22,2014-08-27,
Image Comics,Saga (2012 - Present),Saga #23,2014-09-24,
Image Comics,Saga (2012 - Present),Saga #24,2014-10-29,
Image Comics,Saga (2012 - Present),Saga #25,2015-02-04,
Image Comics,Saga (2012 - Present),Saga #26,2015-03-04,
Image Comics,Saga (2012 - Present),Saga #27,2015-04-08,
Image Comics,Saga (2012 - Present),Saga #28,2015-05-13,
Image Comics,Saga (2012 - Present),Saga #29,2015-06-10,
Image Comics,Saga (2012 - Present),Saga #30,2015-07-08,
Image Comics,Saga (2012 - Present),Saga #31,2015-11-25,
Image Comics,Saga (2012 - Present),Saga #32,2015-12-23,
Image Comics,Saga (2012 - Present),Saga #33,2016-01-27,
Image Comics,Saga (2012 - Present),Saga #34,2016-02-24,
Image Comics,Saga (2012 - Present),Saga #35,2016-03-30,
Image Comics,Saga (2012 - Present),Saga #36,2016-04-27,
Image Comics,Saga (2012 - Present),Saga #37,2016-08-31,
Image Comics,Saga (2012 - Present),Saga #38,2016-09-28,
Image Comics,Saga (2012 - Present),Saga #39,2016-10-26,
Image Comics,Saga (2012 - Present),Saga #40,2016-11-30,
Image Comics,Saga (2012 - Present),Saga #41,2017-01-04,
Image Comics,Saga (2012 - Present),Saga #42,2017-01-25,
Image Comics,Saga (2012 - Present),Saga #43,2017-05-31,
Image Comics,Saga (2012 - Present),Saga #44,2017-06-28,
Image Comics,Saga (2012 - Present),Saga #45,2017-07-26,
Image Comics,Saga (2012 - Present),Saga #46,2017-08-30,
Image Comics,Saga (2012 - Present),Saga #47,2017-09-27,
Image Comics,Saga (2012 - Present),Saga #48,2017-10-25,
Image Comics,Saga (2012 - Present),Saga #49,2018-02-28,
Image Comics,Saga (2012 - Present),Saga #50,2018-03-28,
Image Comics,Saga (2012 - Present),Saga #51,2018-04-25,
Image Comics,Saga (2012 - Present),Saga #52,2018-05-30,
Image Comics,Saga (2012 - Present),Saga #53,2018-06-27,
Image Comics,Saga (2012 - Present),Saga #54,2018-07-25,
Image Comics,Saga (2012 - Present),Saga #55,2022-01-26,
Image Comics,Saga (2012 - Present),Saga #56,2022-02-23,
Image Comics,Saga (2012 - Present),Saga #57,2022-03-23,
Image Comics,Saga (2012 - Present),Saga #58,2022-04-27,
Image Comics,Saga (2012 - Present),Saga #59,2022-05-25,
Image Comics,Saga (2012 - Present),Saga #60,2022-07-06,
Image Comics,Saga (2012 - Present),Saga #61,2023-01-25,
Image Comics,Saga (2012 - Present),Saga #62,2023-02-22,
Image Comics,Saga (2012 - Present),Saga #63,2023-04-05,
Image Comics,Saga (2012 - Present),Saga #64,2023-05-10,
Image Comics,Saga (2012 - Present),Saga #65,2023-06-21,
Image Comics,Saga (2012 - Present),Saga #66,2023-09-20,
Image Comics,Saga (2012 - Present),Saga #67,2024-07-31,4.0
Image Comics,Saga (2012 - Present),Saga #68,2024-08-28,5.0
Image Comics,Saga (2012 - Present),Saga #69,2024-09-25,5.0
Image Comics,Saga (2012 - Present),Saga #70,2024-11-06,4.0
DC Comics,The Saga of the Swamp Thing (1982 - 1996),The Saga of the Swamp Thing Book 1 TP,2012-04-04,4.0
DC Comics,"Shade, The Changing Girl (2016 - 2017)","Shade, The Changing Girl #1",2016-10-05,
DC Comics,"Shade, The Changing Girl (2016 - 2017)","Shade, The Changing Girl #2",2016-11-02,
DC Comics,"Shade, The Changing Girl (2016 - 2017)","Shade, The Changing Girl #3",2016-12-07,
DC Comics,"Shade, The Changing Girl (2016 - 2017)","Shade, The Changing Girl #4",2017-01-04,
DC Comics,"Shade, The Changing Girl (2016 - 2017)","Shade, The Changing Girl #5",2017-02-01,
DC Comics,"Shade, The Changing Girl (2016 - 2017)","Shade, The Changing Girl #6",2017-03-01,
DC Comics,Shadow War Zone (2022),Shadow War Zone #1,2022-05-17,
DC Comics,Shadow War: Alpha (2022),Shadow War: Alpha #1,2022-03-29,
DC Comics,Shadow War: Omega (2022),Shadow War: Omega #1,2022-05-31,
Marvel Comics,She-Hulk (Vol. 3) (2014 - 2015),She-Hulk #1,2014-02-12,
Marvel Comics,She-Hulk (Vol. 3) (2014 - 2015),She-Hulk #2,2014-03-05,
Marvel Comics,She-Hulk (Vol. 3) (2014 - 2015),She-Hulk #3,2014-04-02,
Marvel Comics,She-Hulk (Vol. 3) (2014 - 2015),She-Hulk #4,2014-05-07,
Marvel Comics,She-Hulk (Vol. 3) (2014 - 2015),She-Hulk #5,2014-06-11,
Marvel Comics,She-Hulk (Vol. 3) (2014 - 2015),She-Hulk #6,2014-07-16,
Marvel Comics,She-Hulk (Vol. 3) (2014 - 2015),She-Hulk #7,2014-08-06,
Marvel Comics,She-Hulk (Vol. 3) (2014 - 2015),She-Hulk #8,2014-09-03,
Marvel Comics,She-Hulk (Vol. 3) (2014 - 2015),She-Hulk #9,2014-10-22,
Marvel Comics,She-Hulk (Vol. 3) (2014 - 2015),She-Hulk #10,2014-11-12,
Marvel Comics,She-Hulk (Vol. 3) (2014 - 2015),She-Hulk #11,2014-12-24,
Marvel Comics,She-Hulk (Vol. 3) (2014 - 2015),She-Hulk #12,2015-02-18,
Marvel Comics,Sins of Sinister (2023),Sins of Sinister #1,2023-01-25,4.0
Marvel Comics,Sins of Sinister: Dominion (Vol. 1) (2023),Sins of Sinister: Dominion #1,2023-04-26,4.0
DSTLRY,Somna (2023 - 2024),Somna #1,2023-11-22,
DSTLRY,Somna (2023 - 2024),Somna #2,2024-01-31,
